Case UPC,Client,Item UPC,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
25283,HOSTFZN,,48/1 EA,HST LARG LTO FALL SHIPPER,LP404268,SHIPPER/DISPLAYS/PALLETS LTO,SBS HST,48
25302,HOSTFZN,25300,6/6/4 OZ,HOSTESS DF HONEY BUN FZN,LP404318,HST SS 6CT 6PK,SBS HST,36
25311,HOSTFZN,25309,6/6/4 OZ,HOSTESS JMB GLZ HNY BN FZ,LP404318,HST SS 6CT 6PK,SBS HST,36
25315,HOSTFZN,25313,6/6/4 OZ,HOSTESS ICD JMB HNY BN FZ,LP404318,HST SS 6CT 6PK,SBS HST,36
25320,HOSTFZN,25092,6/16.5 OZ,HST BLUBRY CHS DNSH MP FZ,LP404064,MULTI PACK 6 PK,SBS HST,6
25333,HOSTFZN,11010,6/13.58 OZ,HST TWINKIE MP 10CT FZ,LP403991,MULTI PACK 6 PK,SBS HST,6
25335,HOSTFZN,11016,6/13.58 OZ,HOSTESS BNA TWINKIE MP FZ,LP403991,MULTI PACK 6 PK,SBS HST,6
25340,HOSTFZN,25516,6/10.86 OZ,HST PUMPKIN TWNK MP FZ,LP404049,MULTI PACK LTO 6 PK,SBS HST,6
25342,HOSTFZN,11150,6/13.58 OZ,HST RWB TWINK MP 10CT FZ,,MULTI PACK 6 PK,SBS HST,6
25344,HOSTFZN,25524,6/13.58 OZ,HST SPOOKY TWINKIES FZ,LP404053,MULTI PACK LTO 6 PK,SBS HST,6
25350,HOSTFZN,11497,6/13.58 OZ,HST MXD BERRY TWINKIES MP,LP404179,MULTI PACK 6 PK,SBS HST,6
25357,HOSTFZN,,86/1 EA,HOSTESS C STORE CORE SHP,,SHIPPER/DISPLAYS/PALLETS CORE,SBS HST,86
25371,HOSTFZN,25369,3/12/5 OZ,HST DBL CHC MGA MFN SS FZ,LP404314,HST SS 12CT 3PK,SBS HST,36
25375,HOSTFZN,25373,3/12/5 OZ,HOSTESS BLBR MG MFN SS FZ,LP404314,HST SS 12CT 3PK,SBS HST,36
25381,HOSTFZN,25379,3/12/5 OZ,HOSTESS BNA MGA MFN SS FZ,LP404314,HST SS 12CT 3PK,SBS HST,36
25451,HOSTFZN,25450,6/11.57 OZ,HST KEYLIME CPCK MP FRZN,LP404025,MULTI PACK LTO 6 PK,SBS HST,6
